datetime,timestamp_ms,mq9_value,mq135_value
1970-01-01 00:08:17.963,497963,83,31
1970-01-01 00:00:00.000,0,77,30
1970-01-01 00:08:19.042,499042,86,32
1970-01-01 00:00:01.060,1060,86,28
1970-01-01 00:08:20.102,500102,80,26
1970-01-01 00:00:02.120,2120,86,22
1970-01-01 00:08:21.162,501162,85,27
1970-01-01 00:00:03.180,3180,83,22
1970-01-01 00:08:22.222,502222,82,33
1970-01-01 00:00:04.240,4240,80,32
1970-01-01 00:08:24.082,504082,83,16
1970-01-01 00:00:06.091,6091,81,27
1970-01-01 00:08:25.152,505152,85,29
1970-01-01 00:00:07.163,7163,83,30
1970-01-01 00:08:26.212,506212,85,39
1970-01-01 00:00:08.230,8230,84,22
1970-01-01 00:08:27.292,507292,87,34
1970-01-01 00:00:09.310,9310,83,32
1970-01-01 00:08:28.372,508372,81,30
1970-01-01 00:00:10.390,10390,82,32
1970-01-01 00:08:29.452,509452,81,33
1970-01-01 00:00:11.470,11470,82,33
1970-01-01 00:08:30.522,510522,81,32
1970-01-01 00:00:12.540,12540,80,35
1970-01-01 00:08:31.592,511592,94,31
1970-01-01 00:00:13.610,13610,83,34
1970-01-01 00:08:32.672,512672,83,27
1970-01-01 00:00:14.690,14690,82,39
1970-01-01 00:08:33.762,513762,75,22
1970-01-01 00:00:15.780,15780,79,18
1970-01-01 00:08:34.842,514842,72,30
1970-01-01 00:00:16.860,16860,83,25
1970-01-01 00:08:35.922,515922,89,34
1970-01-01 00:00:17.940,17940,85,35
1970-01-01 00:08:37.002,517002,84,35
1970-01-01 00:00:19.020,19020,86,31
1970-01-01 00:08:38.092,518092,80,30
1970-01-01 00:00:20.110,20110,88,35
1970-01-01 00:08:39.172,519172,81,35
1970-01-01 00:00:21.190,21190,83,34
1970-01-01 00:08:40.252,520252,86,30
1970-01-01 00:00:22.261,22261,85,25
1970-01-01 00:08:41.332,521332,81,32
1970-01-01 00:00:23.333,23333,86,25
1970-01-01 00:08:42.412,522412,82,34
1970-01-01 00:00:24.430,24430,75,16
1970-01-01 00:08:43.492,523492,76,27
1970-01-01 00:00:25.510,25510,83,30
1970-01-01 00:08:44.572,524572,82,37
1970-01-01 00:00:26.590,26590,89,33
1970-01-01 00:08:45.672,525672,84,32
1970-01-01 00:00:27.690,27690,89,31
1970-01-01 00:08:46.772,526772,80,16
1970-01-01 00:00:28.790,28790,87,27
1970-01-01 00:08:47.872,527872,80,31
1970-01-01 00:00:29.890,29890,90,37
1970-01-01 00:08:48.962,528962,84,26
1970-01-01 00:00:30.980,30980,79,19
1970-01-01 00:08:50.052,530052,89,34
1970-01-01 00:00:32.070,32070,81,34
1970-01-01 00:08:51.142,531142,87,31
1970-01-01 00:00:33.160,33160,82,32
1970-01-01 00:08:52.242,532242,83,23
1970-01-01 00:00:34.250,34250,82,34
1970-01-01 00:08:53.332,533332,87,25
1970-01-01 00:00:35.350,35350,94,32
1970-01-01 00:08:54.452,534452,76,30
1970-01-01 00:00:36.461,36461,82,21
1970-01-01 00:08:56.412,536412,83,30
1970-01-01 00:00:38.423,38423,89,19
1970-01-01 00:08:57.492,537492,90,32
1970-01-01 00:00:39.501,39501,86,34
1970-01-01 00:08:58.555,538555,80,28
1970-01-01 00:00:40.570,40570,81,34
1970-01-01 00:08:59.632,539632,91,33
1970-01-01 00:00:41.640,41640,86,33
