index,timestamp,mq9,mq135
0,26491,100,196
1,27512,98,197
2,28578,94,193
3,29583,85,193
4,30588,92,177
5,31593,86,192
6,32598,90,185
7,33603,90,176
8,34608,90,165
9,35613,84,176
10,36685,88,164
11,37690,82,160
12,38695,89,157
13,39700,93,150
14,40705,80,144
15,41710,89,144
16,42715,85,154
17,43787,86,166
18,44792,82,143
19,45797,85,160
20,46802,82,157
21,47807,80,160
22,48812,91,145
23,49817,80,151
24,50884,87,141
25,51889,77,138
26,52894,82,138
27,53899,81,130
28,54904,85,133
29,55909,81,133
30,56914,80,129
31,57919,80,128
32,58986,85,118
33,59991,81,127
34,60996,91,130
35,62001,74,129
36,63006,83,114
37,64011,82,121
38,65016,80,125
39,66085,75,111
40,67090,80,111
41,68095,73,118
42,69100,78,118
43,70105,74,116
44,71110,78,114
45,72115,85,127
46,73184,80,114
47,74189,76,119
48,75194,83,112
49,76199,79,126
50,77204,71,115
51,78209,81,115
52,79214,80,112
53,80283,80,112
54,81288,71,112
55,82293,78,109
56,83298,77,117
57,84303,86,119
58,85308,80,112
59,86313,77,111
60,87318,80,112
61,88390,75,112
62,89395,76,115
63,90400,90,117
64,91405,93,107
65,92410,80,114
66,93415,79,119
67,94420,80,106
68,95489,69,110
69,96494,79,104
70,97499,80,109
71,98504,80,108
72,99509,71,110
73,100514,71,101
74,101519,74,99
75,102588,79,86
76,103593,75,92
77,104598,80,88
78,105603,80,95
79,106608,80,96
80,107613,80,96
81,108618,72,97
82,109687,80,108
83,110692,71,97
84,111697,80,98
85,112702,80,92
86,113707,80,109
87,114712,80,86
88,115717,71,106
89,116722,79,94
90,117791,71,100
91,118796,74,96
92,119801,77,107
93,120806,79,95
94,121811,74,97
95,122816,75,96
96,123821,77,89
97,124887,76,94
98,125892,83,103
99,126897,81,88
100,127902,75,112
101,128907,78,101
102,129912,66,83
103,130917,76,84
104,131988,76,98
105,132993,80,102
106,133998,80,93
107,135003,81,101
108,136008,82,85
109,137013,82,99
110,138018,69,99
111,139089,71,99
112,140094,78,97
113,141099,75,81
114,142104,72,98
115,143109,70,91
116,144114,78,89
117,145119,74,84
118,146124,75,108
119,147193,71,83
120,148198,68,86
121,149203,80,97
122,150208,80,95
123,151213,77,96
124,152218,77,104
125,153223,77,90
126,154296,80,80
127,155301,80,98
128,156306,74,99
129,157311,70,96
130,158316,80,94
131,159321,74,98
132,160326,75,86
133,161397,72,83
134,162402,73,91
135,163407,78,90
136,164412,77,87
137,165417,78,90
138,166422,71,81
139,167427,75,96
140,168432,75,86
141,169501,77,89
142,170506,74,86
143,171511,79,82
144,172516,75,91
145,173521,78,84
146,174526,77,81
147,175531,80,101
148,176596,80,85
149,177601,79,86
150,178606,73,92
151,179611,72,91
152,180616,80,106
153,181621,75,85
154,182626,75,85
155,183694,77,84
156,184699,80,76
